name,team,salary,pts/salary,week_pts,total_pts,6week_pts
"Shelvey, J",Swansea City,3.6,7.2,0.0,26.0,10
"Lovren, D",Liverpool,3.3,8.8,0.0,29.0,6
"Phillips, M",Queens Park Rangers,2.7,5.6,0.0,15.0,4
Fernando,Manchester City,3.7,8.4,0.0,31.0,15
"Westwood, A",Aston Villa,3.1,9.7,0.0,30.0,11
"Agbonlahor, G",Aston Villa,4.5,10.7,2.0,48.0,19
"Chambers, L",West Ham United,2.0,0.0,0.0,0.0,0
"Gnabry, S",Arsenal,2.9,0.0,0.0,0.0,0
"Lawrence, T",Leicester City,2.8,0.0,0.0,0.0,0
"Forster, F",Southampton,3.2,22.5,6.0,72.0,23
"Schlupp, J",Leicester City,2.6,20.4,6.0,53.0,27
"Collins, J",West Ham United,2.9,10.7,2.0,31.0,17
"Ings, D",Burnley,4.3,14.9,6.0,64.0,45
"Ramsey, A",Arsenal,5.0,10.0,0.0,50.0,16
"Jenkinson, C",West Ham United,2.9,18.3,2.0,53.0,25
"de Jong, S",Newcastle United,3.5,0.9,0.0,3.0,0
"Morrison, R",West Ham United,3.6,0.3,0.0,1.0,0
"Sigurdsson, G",Swansea City,3.6,23.9,2.0,86.0,32
"Riviere, E",Newcastle United,4.6,5.2,2.0,24.0,5
"Zabaleta, P",Manchester City,4.6,10.7,0.0,49.0,30
"Vergini, S",Sunderland,2.8,15.0,0.0,42.0,27
"James, M",Leicester City,2.7,9.3,4.0,25.0,15
"Mason, R",Tottenham Hotspur,2.5,12.4,2.0,31.0,19
"Huddlestone, T",Hull City,3.6,8.1,0.0,29.0,4
"Bruce, A",Hull City,2.3,11.3,6.0,26.0,12
"Caballero, W",Manchester City,2.9,0.7,1.0,2.0,1
"Monreal, N",Arsenal,3.5,11.1,0.0,39.0,16
"Sordell, M",Burnley,3.7,2.7,0.0,10.0,1
"Balotelli, M",Liverpool,6.3,2.4,0.0,15.0,1
"Hamer, B",Leicester City,1.7,10.0,1.0,17.0,11
"Cole, C",West Ham United,3.7,6.8,1.0,25.0,4
"Flamini, M",Arsenal,2.9,11.7,0.0,34.0,19
"Ferguson, S",Newcastle United,2.8,0.0,0.0,0.0,0
"Mertesacker, P",Arsenal,4.6,10.7,1.0,49.0,21
"Schneiderlin, M",Southampton,3.7,11.1,0.0,41.0,5
"Long, S",Southampton,4.9,9.0,1.0,44.0,16
"Jones, B",Liverpool,2.0,2.5,0.0,5.0,5
"Reid, W",West Ham United,3.0,14.0,2.0,42.0,13
"Naismith, S",Everton,4.2,11.9,2.0,50.0,14
"Haidara, M",Newcastle United,2.2,10.0,1.0,22.0,11
"Kranjcar, N",Queens Park Rangers,2.9,9.0,0.0,26.0,12
"Coquelin, F",Arsenal,2.7,1.5,1.0,4.0,4
"Williams, A",Swansea City,3.1,18.4,2.0,57.0,23
"Campbell, F",Crystal Palace,4.2,10.2,0.0,43.0,6
"Obertan, G",Newcastle United,2.8,6.4,0.0,18.0,0
"Zouma, K",Chelsea,2.4,2.9,0.0,7.0,6
"O'Neil, L",West Bromwich Albion,2.0,0.0,0.0,0.0,0
"Chadli, N",Tottenham Hotspur,3.6,22.8,13.0,82.0,28
"Hernandez, A",Hull City,4.7,8.5,5.0,40.0,10
"Lallana, A",Liverpool,4.4,12.3,2.0,54.0,39
"Crouch, P",Stoke City,4.7,11.5,5.0,54.0,26
"Ince, T",Hull City,3.4,2.4,0.0,8.0,2
"Muniesa, M",Stoke City,2.6,11.9,2.0,31.0,19
"de Laet, R",Leicester City,2.6,13.1,1.0,34.0,9
"Giaccherini, E",Sunderland,3.5,1.4,1.0,5.0,2
"Jagielka, P",Everton,3.9,11.8,1.0,46.0,12
"Pienaar, S",Everton,3.7,4.3,0.0,16.0,2
"Dawson, M",Hull City,3.2,5.9,0.0,19.0,9
"Diame, M",Hull City,3.4,13.2,0.0,45.0,4
"Carroll, A",West Ham United,5.4,7.2,2.0,39.0,38
"Demel, G",West Ham United,2.8,2.9,0.0,8.0,3
"Powell, N",Leicester City,2.7,1.1,0.0,3.0,1
"Rangel, A",Swansea City,3.0,16.7,2.0,50.0,16
"Roofe, K",West Bromwich Albion,2.5,0.0,0.0,0.0,0
"Wickham, C",Sunderland,4.0,11.2,2.0,45.0,19
"Baker, N",Aston Villa,2.5,6.8,0.0,17.0,0
"Debuchy, M",Arsenal,3.2,7.5,1.0,24.0,14
Rafael,Manchester United,3.7,4.6,3.0,17.0,6
"Hammond, D",Leicester City,2.5,6.0,2.0,15.0,2
"Marney, D",Burnley,3.0,11.3,2.0,34.0,20
"Vertonghen, J",Tottenham Hotspur,3.8,9.7,0.0,37.0,20
"Sinclair, S",Manchester City,2.9,0.7,0.0,2.0,2
"Berahino, S",West Bromwich Albion,4.0,19.0,7.0,76.0,19
"Tiote, C",Newcastle United,3.0,8.3,2.0,25.0,16
"Schmeichel, K",Leicester City,2.5,7.6,0.0,19.0,7
"Simpson, D",Leicester City,2.5,6.0,1.0,15.0,11
"Britton, L",Swansea City,3.0,3.3,2.0,10.0,9
"Harper, S",Hull City,2.0,5.0,0.0,10.0,0
"Quinn, S",Hull City,2.7,9.6,0.0,26.0,7
"Jarvis, M",West Ham United,3.4,1.5,1.0,5.0,4
"Lafferty, D",Burnley,2.2,1.4,0.0,3.0,3
"Albrighton, M",Leicester City,3.0,1.7,0.0,5.0,2
"Vardy, J",Leicester City,3.7,12.2,5.0,45.0,14
"Hangeland, B",Crystal Palace,2.7,10.4,0.0,28.0,14
"Morgan, W",Leicester City,2.5,12.0,1.0,30.0,12
"Chester, J",Hull City,2.7,17.8,6.0,48.0,21
"Mane, S",Southampton,3.4,15.6,7.0,53.0,31
"Begovic, A",Stoke City,3.1,15.2,2.0,47.0,22
"McAleny, C",Everton,2.0,0.0,0.0,0.0,0
"Samaras, G",West Bromwich Albion,3.7,2.2,0.0,8.0,1
"Lindegaard, A",Manchester United,2.5,0.0,0.0,0.0,0
"Davis, K",Southampton,1.9,0.0,0.0,0.0,0
Oscar,Chelsea,4.9,12.7,5.0,62.0,26
"Stambouli, B",Tottenham Hotspur,3.3,1.5,0.0,5.0,4
"Good, C",Newcastle United,2.1,0.0,0.0,0.0,0
"di Maria, A",Manchester United,5.3,11.1,0.0,59.0,8
"Reveillere, A",Sunderland,2.5,9.2,0.0,23.0,19
"McAuley, G",West Bromwich Albion,2.9,4.8,2.0,14.0,14
"Cole, J",Aston Villa,3.0,4.0,1.0,12.0,10
"Cambiasso, E",Leicester City,3.0,11.0,1.0,33.0,19
"Konchesky, P",Leicester City,2.4,12.5,0.0,30.0,10
"Coates, S",Sunderland,2.2,3.2,3.0,7.0,7
"Taylor, M",Burnley,2.7,3.3,0.0,9.0,0
"Ramirez, G",Hull City,3.5,6.6,2.0,23.0,16
"Fabianski, L",Swansea City,2.3,24.8,2.0,57.0,20
"Jedinak, M",Crystal Palace,3.3,18.5,0.0,61.0,29
"Boyata, D",Manchester City,2.6,0.4,0.0,1.0,1
"Schwarzer, M",Chelsea,2.2,0.0,0.0,0.0,0
"Delaney, D",Crystal Palace,2.7,11.1,5.0,30.0,12
"Reed, H",Southampton,2.5,1.6,1.0,4.0,3
"Downing, S",West Ham United,3.5,24.9,2.0,87.0,34
"O'Keefe, S",Crystal Palace,2.6,1.2,0.0,3.0,0
"Dudgeon, J",Hull City,2.2,0.0,0.0,0.0,0
"Alderweireld, T",Southampton,3.0,19.7,6.0,59.0,26
"Given, S",Aston Villa,2.2,0.0,0.0,0.0,0
"Perez, A",Newcastle United,4.1,14.1,5.0,58.0,31
"Ake, N",Chelsea,2.2,0.0,0.0,0.0,0
"Howard, T",Everton,3.4,9.7,0.0,33.0,11
"Davies, B",Tottenham Hotspur,2.9,8.6,1.0,25.0,22
"Mariappa, A",Crystal Palace,2.4,9.2,6.0,22.0,12
"Anichebe, V",West Bromwich Albion,4.0,5.8,0.0,23.0,6
"Austin, C",Queens Park Rangers,4.4,23.2,2.0,102.0,48
"Naughton, K",Tottenham Hotspur,2.9,2.4,0.0,7.0,0
"Oviedo, B",Everton,3.4,0.6,1.0,2.0,1
"Vuckic, H",Newcastle United,2.6,0.4,0.0,1.0,1
